"country","iso2c","iso3c","year","status","lastupdated","gni_per_capita","gdp_per_capita","population","trade_gdp","region","capital","longitude","latitude","income","lending","high_income_threshold","running_var","treatment","running_var_centered"
"St. Kitts and Nevis","KN","KNA",2023,"","2025-04-15",21520,22573.6724791004,46758,NA,"Latin America & Caribbean","Basseterre","-62.7309","17.3","High income","IBRD",14005,7515,1,7.515
"St. Lucia","LC","LCA",2023,"","2025-04-15",12350,13554.6651875402,179285,NA,"Latin America & Caribbean","Castries","-60.9832","14","Upper middle income","Blend",14005,-1655,0,-1.655
"St. Vincent and the Grenadines","VC","VCT",2023,"","2025-04-15",10300,10520.4441534791,101323,NA,"Latin America & Caribbean","Kingstown","-61.2653","13.2035","Upper middle income","Blend",14005,-3705,0,-3.705
"Suriname","SR","SUR",2023,"","2025-04-15",5200,5494.07409425517,628886,NA,"Latin America & Caribbean","Paramaribo","-55.1679","5.8232","Upper middle income","Blend",14005,-8805,0,-8.805
"Thailand","TH","THA",2023,"","2025-04-15",7200,7182.02525812415,71702435,129.136262293384,"East Asia & Pacific","Bangkok","100.521","13.7308","Upper middle income","IBRD",14005,-6805,0,-6.805
"Trinidad and Tobago","TT","TTO",2023,"","2025-04-15",21000,20016.1503008736,1367510,NA,"Latin America & Caribbean","Port-of-Spain","-61.4789","10.6596","High income","IBRD",14005,6995,1,6.995
"Turkiye","TR","TUR",2023,"","2025-04-15",11730,13105.6585678319,85325965,66.2766047093165,"Europe & Central Asia","Ankara","32.3606","39.7153","Upper middle income","IBRD",14005,-2275,0,-2.275
"Turkmenistan","TM","TKM",2023,"","2025-04-15",8250,8232.65225980002,7364438,34.0992738017257,"Europe & Central Asia","Ashgabat","58.3794","37.9509","Upper middle income","IBRD",14005,-5755,0,-5.755
"Tuvalu","TV","TUV",2023,"","2025-04-15",8770,6344.7750188689,9816,NA,"East Asia & Pacific","Funafuti","179.089567","-8.6314877","Upper middle income","IDA",14005,-5235,0,-5.235
"Ukraine","UA","UKR",2023,"","2025-04-15",4950,5069.703125,37732836,78.0981136693013,"Europe & Central Asia","Kiev","30.5038","50.4536","Upper middle income","IBRD",14005,-9055,0,-9.055
"Uruguay","UY","URY",2023,"","2025-04-15",19700,22797.8111731861,3388081,51.7334881614305,"Latin America & Caribbean","Montevideo","-56.0675","-34.8941","High income","IBRD",14005,5695,1,5.695
"Viet Nam","VN","VNM",2023,"","2025-04-15",4110,4282.08851724506,100352192,166.323605042338,"East Asia & Pacific","Hanoi","105.825","21.0069","Lower middle income","IBRD",14005,-9895,0,-9.895
"West Bank and Gaza","PS","PSE",2023,"","2025-04-15",4180,3372.34974423005,5165775,86.3938510286554,"Middle East & North Africa","","","","Lower middle income","Not classified",14005,-9825,0,-9.825
